title,company,rating,place,job_type,salary,timestamp,qualifications,description,logo_url,url
"Software Engineer, Front End- Execution Management System",Clear Street,4 out of 5 stars,"New York, NY",,"$170,000 - $240,000 a year",,"['Go', 'Node.js', 'Trading', 'React', 'Kubernetes', 'Full-stack development', '5 years', 'Java', 'Docker', 'Redux', 'APIs', 'UI', 'Kafka', 'Senior level', 'gRPC', 'TypeScript']","About Clear Street:

Clear Street is building financial infrastructure for today’s institutions. Founded in 2018, Clear Street is an independent, non-bank prime broker replacing the legacy infrastructure used across capital markets.

We started from scratch by building a completely cloud-native clearing and custody system designed for today’s complex, global market. Our platform is fully integrated with central clearing houses and exchanges to support billions in trading volume per day. We’ve agonized about our data model abstractions, created horizontal scalability, and crafted thoughtful APIs. All so we can provide a best-in-class experience for our clients.

By combining highly-skilled product and engineering talent with seasoned finance professionals, we’re building the essentials to compete in today’s fast-paced markets.

The Role:

You will build highly available, horizontally scalable mission critical applications in a modern technology stack.
You will sharpen your (already advanced) front-end and full stack engineering skills by working on some of the most challenging problems available.
You will work with users to understand and define new features and drive them to completion.
You will develop a deep understanding of the business domain.

The Team:

The mission of the Clear Street Execution Management System (EMS) team is to provide best execution for all asset classes in all regions. EMS is actively building a new state of the art cloud-based trading platform, providing high-performance traders access to liquidity venues across multiple asset classes, cutting-edge charting capabilities, sophisticated order handling and flexibility to service both the active trader and institutional workflows.

Tech Stack: TypeScript, React, Redux, RxJs, Express, Kafka, Docker, Kubernetes.

Requirements:

5 years minimum experience and strong proficiency with TypeScript, React, UI state management (i.e. redux or similar)
NodeJS server-side experience (i.e. express, socket.io, etc)
Ability to work with stakeholders to define requirements, drive projects forward, and work creatively within constraints

Bonus:

Proven experience as a Front-end Engineer working on electronic trading systems.
Experience on high throughput / low latency / high capacity, Multithreaded (incl. Synchronization), load balanced, highly available systems.
Strong knowledge and understanding of FIX protocol.
Experience with Kafka or streaming paradigms in general.
Java, Go, gRPC and Protobuf.

We Offer:

The opportunity to join a small and growing team of good people, where you can make a difference.
A meritocratic philosophy that champions collaboration.
Competitive compensation, benefits, and perks.

The Base Salary Range for this role is $170,000 - $240,000. This range is representative of the starting base salaries for this role at Clear Street. Where a candidate falls in this range will be based on job related factors such as relevant experience, skills, and location. This range represents Base Salary only, which is just one element of Clear Street's total compensation. The range stated does not include other factors of total compensation such as bonuses or equity.

At Clear Street, we offer competitive compensation packages, company equity, 401k matching, gender neutral parental leave, and full medical, dental and vision insurance. In-office benefits include lunch stipends, fully stocked kitchens, happy hours, a great location, and amazing views.

Our top priority is our people. We’re continuously investing in a culture that promotes collaboration. We help each other through challenges and celebrate each other's successes. We believe that modern workplaces succeed by virtue of having high-performance workforces that are diverse — in ideas, in cultures, and in experiences. We are proud to be an equal opportunity employer and put in the effort to make such a workplace a daily reality. #LI-Hybrid",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/128x128/ff5a5f2c405af287089cc24f9d374d99,https://www.simplyhired.com/job/07S5-OfuhdrF2pprZyhwK0SGC1-XOJ_g7mNdGh3LLAqCNBu6NINNjA
UTS - Temporary WordPress Web Developer at UNC Chapel Hill,University of North Carolina at Chapel Hill,4 out of 5 stars,"Chapel Hill, NC",Temporary | Full-time,$25 an hour,18 hours ago,"['WordPress', 'Mid-level', 'High school diploma or GED', 'PHP']","Posting Information
Department HR UTS Partnership

Career Area Public Relations/Communications/Marketing

Posting Open Date 07/14/2025

Application Deadline 07/21/2025

Position Type Temporary Staff (SHRA)

Position Title UTS - Temporary WordPress Web Developer at UNC Chapel Hill

Position Number

Vacancy ID S025757

Full-time/Part-time Full-Time Temporary

Hours per week

Work Schedule
Monday-Friday, 40 hours a week, 8:00am-5:00pm; hybrid


Position Location

Hiring Range $25/hour

Proposed Start Date

Estimated Duration of Appointment 6 months not to exceed 11 months

Position Information
Be a Tar Heel!
A global higher education leader in innovative teaching, research and public service, the University of North Carolina at Chapel Hill consistently ranks as one of the nation’s top public universities. Known for its beautiful campus, world-class medical care, commitment to the arts and top athletic programs, Carolina is an ideal place to teach, work and learn.
One of the best college towns and best places to live in the United States, Chapel Hill has diverse social, cultural, recreation and professional opportunities that span the campus and community.
University employees can choose from a wide range of professional training opportunities for career growth, skill development and lifelong learning and enjoy exclusive perks that include numerous retail and restaurant discounts, savings on local child care centers and special rates for performing arts events.

Primary Purpose of Organizational Unit

Position Summary
Primary Duties: Maintaining and customizing WordPress websites using both the WordPress admin interface and custom PHP.

Minimum Education and Experience Requirements
Minimum Years of Education after High School Required: 2

Required Qualifications, Competencies, and Experience

Required Skills: Understanding how WordPress works with regards to themes, plugins, and custom development.
Proficient in PHP skills to write custom code both inside and outside of a WordPress environment.

Preferred Qualifications, Competencies, and Experience
N/A


Special Physical/Mental Requirements

Campus Security Authority Responsibilities",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/128x128/c2cda3c168d1ff2142aa8cb709c53df5,https://www.simplyhired.com/job/whcSVL8ucdXfX28-0cct_LuIFk4QybM46SMSSXiHrTiu3srLHRIoVA
Staff Software Engineer (Frontend),Sysdig,2.9 out of 5 stars,"Raleigh, NC",Full-time,"$163,000 - $204,000 a year",4 days ago,"['Computer science', '7 years', 'Computer Science', 'React', ""Bachelor's degree"", 'Senior level']","ENGINEERING - RALEIGH - JULY 13, 2025
In the cloud, every second counts. On the leading edge of security, Sysdig stops attacks in real-time by instantly detecting changes in cloud security risk with runtime insights and open source Falco. Trusted by a large enterprise customer base, we are a well-funded startup, passionate open source enthusiasts at heart, and problem-solvers who are building and delivering powerful solutions to secure cloud-native applications.
We have an organizational focus on delivering value to customers. We appreciate diverse opinions and open dialogue to spur ideas and we believe in working together to achieve our goals. We’re an international company that understands how to cultivate an inclusive environment across all teams.
And we’re a great place to work too – we’ve been named a “Best Places to Work” by Inc, the San Francisco Business Time, and Built In, with recognitions ranging from “Best Benefits” to a “Best Company for Happiness”.
We are looking for driven team members who want to join us on our mission to lead cloud security globally. Does this sound like the right place for you?
What you will do
Reporting to the Engineering Manager, you will collaborate with Designers, Product Managers and Software Engineers to deliver the best UI/UX
Architect efficient and reusable code that moves complex applications
Contribute to the high quality of code and promote best practices across products and services
What you will bring with you
Bachelor’s degree in computer science or a related field
7+ years of experience developing scalable and performant, and secure applications
Knowledge about web foundations and most common web development patterns
What we look for
Experience with React and the maintenance of a medium-large web application
Experience with testing patterns (unit and integrations)
You have an eye for improving and maintaining performances
When you join Sysdig, you can expect:
Extra days off to prioritize your well-being
401(k) Retirement Savings Plan with a 3% company match
Maternity and Parental Leave
Mental health support for you and your family through the Modern Health app
Full health benefits package for you and your family
The U.S. annual on target earnings (OTE) range for this full-time position is between 163,000 and 204,000 USD/year. Actual offers may be higher or lower than this range based on a variety of factors, including your work location, job-related experience and education.
We would love for you to join us! Please reach out even if your experience doesn’t perfectly match the job description. We can always explore other options after starting the conversation. Your background and passion will set you apart, especially if your career path is different.
Sysdig values a diverse workplace and encourages women, people of color, LGBTQIA+ individuals, people with disabilities, members of ethnic minorities, foreign-born residents, and veterans to apply. Sysdig is an equal-opportunity employer. Sysdig does not discriminate on the basis of race, color, religion, sex, national origin, age, disability, genetic information, sexual orientation, gender identity, or any other legally protected status.
#LI-FD1
#LI-Onsite
Are you ready to join us?
We're excited to receive your application.",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/128x128/d3b3c178709a692e47f3ad55a1b75e77,https://www.simplyhired.com/job/Jpkw_iUz-cqNIPfiAbJk5FALYiXBkJW5jzh-HUem9YDPGjd_pqwcFQ
Front-End Developer,"ELEVATE ME, INC.",,Massachusetts,Full-time,"$90,000 - $120,000 a year",3 days ago,"['Jira', 'AJAX', 'Front-end component design', 'CSS', 'React', 'Trello', 'Mid-level', 'Responsive web design', 'UI design', '3 years', 'Java', 'Databases', 'SOAP', 'SVN', 'JavaScript', 'Back-end development', 'Angular', 'UX', 'APIs', 'User flows', 'Front-end development', 'Front-end component implementation', 'SQLite', 'GraphQL', 'Vue.js', '2 years', 'Communication skills', 'HTML', 'Under 1 year']","Job OverviewWe are seeking a skilled Front End Developer to join our dynamic team. In this role, you will be responsible for creating engaging and user-friendly web applications that enhance the user experience. You will collaborate closely with designers and back-end developers to implement innovative solutions that meet our clients' needs. The ideal candidate should have a strong understanding of web technologies and a passion for building seamless user interfaces.DutiesDevelop and maintain responsive web applications using HTML, CSS, and JavaScript.Collaborate with UX/UI designers to create intuitive user flows and interfaces.Integrate APIs using GraphQL and SOAP to enhance application functionality.Utilize AJAX for asynchronous data loading to improve performance.Manage version control using SVN and collaborate on projects through Jira and Trello.Conduct testing and debugging to ensure high-quality code.Optimize applications for maximum speed and scalability.Stay updated with emerging technologies and industry trends to continuously improve development practices.QualificationsProficiency in front-end technologies such as HTML, CSS, and JavaScript.Experience with frameworks or libraries like React, Angular, or Vue.js is a plus.Familiarity with databases such as SQLite for data management.Knowledge of version control systems (SVN) and project management tools (Jira, Trello).Understanding of user flows and best practices in UI/UX design.Experience with back-end technologies like Java is advantageous but not required.Strong problem-solving skills and attention to detail.Excellent communication skills and ability to work collaboratively in a team environment.If you are passionate about front-end development and eager to contribute to exciting projects, we encourage you to apply!Job Type: Full-timePay: $90,000.00 - $120,000.00 per yearSchedule:Monday to FridayAbility to Commute:Massachusetts (Preferred)Ability to Relocate:Massachusetts: Relocate before starting work (Preferred)Work Location: Remote",,https://www.simplyhired.com/job/syZIHA8Tq0HRjDEqk5rQCZQS2RHye4NBaHNNmIkYEMjty_QldrSaZg
Website Developer,King University,3.9 out of 5 stars,"Bristol, TN",,Estimated: $35K - $43.4K a year,6 days ago,"['Web accessibility', 'SFTP', 'Adtech', 'Facebook Advertising', 'WordPress', 'English', 'Mid-level', 'Microsoft Office', 'Adobe Creative Suite', ""Master's degree"", ""Driver's License"", ""Bachelor's degree"", 'Digital marketing', 'Organizational skills', 'WCAG', 'Computer skills', 'Google Search Console', 'Google Ads', 'Leadership', 'Communication skills']","Description: The Web Developer is a key member of King University’s Marketing & Communications team, supporting institutional visibility, student recruitment, and advancement goals through the design, maintenance, and optimization of King’s digital properties. This intermediate-level role bridges creative and technical disciplines and works closely with all campus offices to ensure a cohesive and impactful web presence. This role also involves coordination with third-party vendors and systems and ensures effective social media integration and campaign implementation across web platforms.
Minimum Qualifications: • Experience: Minimum of two years of experience and a successful track record in a digital marketing environment, with work in higher education, a creative agency or non-profit organization preferred. • Education: Bachelor’s degree required, master’s degree in a related field preferred. • Communication Skills: Exceptional verbal and written communication skills needed, along with the ability to collaborate and work effectively with a range of audiences. • Leadership Skills: Excellent organizational skills required, along with the ability to think globally about challenges and opportunities to advance the University’s mission, vision, and reputation. • Computer Skills: Highly proficient knowledge of, and experience with, Microsoft Office, Adobe Creative Suite, WordPress and Google Website Tools is a necessity. Experience with digital advertising tools such as Google Ads and Facebook Advertising/or equivalent programs is a plus. • Level of Independence: This individual must have the ability to work independently or as a team member in a fast-paced environment where multiple projects are ongoing. • Physical Exertion Requirements: Medium work as defined by the Bureau of Labor Statistics. • Schedule Flexibility: In-person interaction is valued at King, and so most positions are on site. Occasional remote workdays may be considered after a successful first year of integrating into the community and meeting goals and objectives. Occasional evening and weekend work can be expected. • Driving History: Must possess a valid driver’s license and qualify to drive a university-owned vehicle. • Procedures Commitment: The candidate must adhere to any King University policies as detailed for all employees in the Employee Handbook or specifically per any department, such as Admissions, Business Office, Financial Aid, etc. • Christian Commitment: The candidate must have and be able to articulate a personal faith in the Lordship of Jesus Christ and support the mission of King University.
Responsibilities: Website Management & Design • Manage the architecture, design, and functionality of King University’s public-facing websites and microsites. • Ensure a dynamic and user-friendly experience for prospective students, students, families, donors, and alumni. • Digital Strategy for Recruitment & Advancement. • Develop and support landing pages and microsites tied to enrollment campaigns, giving initiatives, events, and strategic priorities. • Collaborate with the Admissions and Advancement teams to build custom forms, trackable calls to action, and conversion-driven content. • Support web integrations for CRMs, email marketing platforms, and donation portals. Technical Maintenance & SEO • Ensure ongoing compliance with web content accessibility guidelines (WCAG) • Regularly update plugins, themes, metadata, schema, and other elements to maintain site health, security, and visibility. • Monitor and optimize site performance, accessibility & compliance, and mobile responsiveness. • Utilize tools such as Google Analytics, Search Console, and Tag Manager to generate reports and guide improvements to enhance performance surrounding technical functions associated with marketing and outreach communications. Third-Party Integrations & Secure File Transfer (SFTP) • Manage integrations with vendors and platforms such as enrollment CRMs, advancement databases, and marketing automation tools. • Maintain and monitor SFTP connections for secure data exchange with external partners. Social Media & Multimedia Integration • Implement and support embedded social media feeds, pixel tracking, and other integrations on the website. • Collaborate on digital storytelling efforts through media galleries, video embeds, and interactive content. • Ensure all embedded content aligns with branding and accessibility guidelines. Website Developer is responsible for overseeing the design, structure, and content freshness of University websites, leading to streamlined accessibility and positive user experience. This is a key position in the University’s efforts to promote student recruitment/retention and cultivate philanthropic interests.
Language: Proficiency in written and spoken English required
Campus: Bristol",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/128x128/c267fcd4cd616b93f91048a7abb502da,https://www.simplyhired.com/job/3Ti6TYWTm-huUgP-t4ZZ7O_S0HvZTxHEZib_ePmI1XV6JWSTZ1dseQ
"Staff Engineer, Front End, Pharmacy & Fulfillment",Hims & Hers,3 out of 5 stars,United States,Full-time,"$210,000 - $240,000 a year",14 days ago,"['CI/CD', 'Node.js', 'CSS', 'React', 'Kubernetes', '11+ years', 'Docker', 'JavaScript', 'Redis', 'GitHub', 'CircleCI', 'Senior level', 'Leadership', 'TypeScript', 'Communication skills', 'React Native', 'HTML', 'Design patterns']","Hims & Hers is the leading health and wellness platform, on a mission to help the world feel great through the power of better health. We are redefining healthcare by putting the customer first and delivering access to care that is affordable, accessible, and personal, from diagnosis to treatment to delivery. No two people are the same, so we provide access to personalized care designed for results. By normalizing health & wellness challenges and innovating on their solutions, we’re making better health outcomes easier to achieve.
Hims & Hers is a public company, traded on the NYSE under the ticker symbol “HIMS.” To learn more about the brand and offerings, you can visit hims.com/about and hims.com/how-it-works . For information on the company’s outstanding benefits, culture, and its talent-first flexible/remote work approach, see below and visit www.hims.com/careers-professionals.
Hims & Hers is on a mission to empower people to live healthier lives.
Hims & Hers is seeking an experienced, self-motivated, and results-driven Staff Engineer to build, test, deploy and support our self-service platform used for pharmacy operations and customer order fulfillment.
As a leading technical voice within the growing Fulfillment and Pharmacy Engineering Front End team, you will collaborate with UI engineers, product managers, designers, and other Engineering leaders in the organization to deliver solutions for our Fulfillment and Pharmacy Operations teams. Your contributions will help ensure the resulting platform is reliable, scalable, and adaptable to our growing business needs.
You Will:
Lead the architecture of scalable, maintainable, and performant front end solutions aligned with product requirements.
Work with other technical leaders to identify and drive adoption of common frameworks, patterns, and practices.
Establish and foster consistent best practices, design patterns, and coding standards across the Front End team.
Guide the technical growth of Front End engineers through pair programming, mentorship opportunities, maintaining thorough technical documentation, and other avenues.
Initiate efforts to reduce technical debt and enhance workflow efficiency.
Implement tools and processes for monitoring, incident response, and performance optimization.
Break down complex projects into actionable tasks.
Collaborate with designers for intuitive and engaging user experiences.
Conduct code reviews and facilitate knowledge-sharing initiatives.
Stay informed of industry trends and standards to propose innovative enhancements.
Advocate the team’s technical needs within the broader engineering organization.
You Have:
12+ years of software engineering experience, with at least 2 years in a Staff Engineer or equivalent senior technical leadership role.
Proven experience in building scalable web applications and services, preferably in a cloud environment.
Proficiency in front-end technologies such as HTML, CSS, and JavaScript frameworks (React, React Native, NextJs, TypeScript) and back-end technologies (Node.js, Docker, Kubernetes, Redis).
Experience with monitoring (Datadog) and CI/CD (CircleCI, Github actions), etc
Excellent problem-solving skills and the ability to think critically and strategically.
Strong communication and collaboration skills, with the ability to work effectively across teams.
Capable of prioritizing multiple projects in order to meet goals without management oversight.
You will be successful in the role if you are someone who:
Identifies clarity in ambiguous situations, acting as a stabilizing influence during uncertainty.
Fosters trust and collaboration across diverse teams.
Balances confidence with humility, constructively addressing conflicts and resistance.
Provides empathetic feedback and promotes transparency.
Strategically drives execution of initiatives, maintaining urgency and focus on critical priorities.
Champions customer-centric design and ensures customer priorities are reflected.
Demonstrates accountability, owning outcomes and the long-term success of technical systems.
Proactively identifies and addresses risks and gaps without awaiting direction.
Promotes curiosity, continuous improvement, and innovation.
Influences decisions through well-reasoned arguments and supports alignment post-decision.
Our Benefits (there are more but here are some highlights):
Competitive salary & equity compensation for full-time roles
Unlimited PTO, company holidays, and quarterly mental health days
Comprehensive health benefits including medical, dental & vision, and parental leave
Employee Stock Purchase Program (ESPP)
401k benefits with employer matching contribution
Offsite team retreats
We are committed to building a workforce that reflects diverse perspectives and prioritizes ethics, wellness, and a strong sense of belonging. If you're excited about this role, we encourage you to apply—even if you're not sure if your background or experience is a perfect match.
Hims considers all qualified applicants for employment, including applicants with arrest or conviction records, in accordance with the San Francisco Fair Chance Ordinance, the Los Angeles County Fair Chance Ordinance, the California Fair Chance Act, and any similar state or local fair chance laws.
It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.
Hims & Hers is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, please contact us at accommodations@forhims.com and describe the needed accommodation. Your privacy is important to us, and any information you share will only be used for the legitimate purpose of considering your request for accommodation. Hims & Hers gives consideration to all qualified applicants without regard to any protected status, including disability. Please do not send resumes to this email address.
To learn more about how we collect, use, retain, and disclose Personal Information, please visit our Global Candidate Privacy Statement.
Compensation Range: $210K - $240K",,https://www.simplyhired.com/job/zoaAmHMCWGuX4PZTuFE9S0WsT_d2eOu4ntNVMGasD43ThJxnotUMaA
Angular Developer,BostonLogix.,,"Westborough, MA",,Estimated: $78.4K - $103K a year,,"['Management', 'CSS', 'Mid-level', 'Java', 'Flux', 'JavaScript', 'Continuous integration', 'Back-end development', 'Redux', 'Angular', 'UI', 'Unit testing', 'TypeScript', 'Design patterns']","We are looking to hire an experienced angularJS developer to join our dynamic team. As a lead developer, you will be responsible for creating a top-level coding-base using Angular best practices. Your role will require you to implement an exciting and streamlined user experience in the form of a Java-based desktop and mobile web-app.
The Angular Developer is accountable for the following :
Designing and developing user interfaces using angularJS best practices
Adapting interface for modern internet applications using the latest front-end technologies.
Identifying and managing the risks
Applying standards to development.
Technical Skills:
Project involves Angular 8 and above, Design Patterns, UI, redux, Webpack, TypeScript, CSS, JavaScript
Able to suggest user interface and interaction best practices
Understanding of functional programming and SPA state management (promises, observables, flux.)
Strong knowledge of Webpack and Angular CLI required
Experience developing test specs & unit testing with Angular Test Bed, Jasmine & Karma. Project involves “shift left” and developers will be responsible for developing unit and integration tests
Architecting and automating the build process for production, using task runners or scripts
Creating configuration, build and test scripts for Continuous Integration environments
Proven experience implementing front-end and back-end JavaScript applications.
To apply, Send your resume to careers@bostonlogix.com",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/128x128/6e929c9fbcc21de8797363acecca7a35,https://www.simplyhired.com/job/xYk7R8v1siKHqC5WNeKumRd1XspUtyQhoPj_oURP6YvIi_Elk2vtvg
Front-End Engineer,Meibel,,"Tysons, VA",Full-time,Estimated: $93.8K - $122K a year,,"['Web design', 'CI/CD', 'Management', 'CSS', 'React', 'Writing skills', 'DevOps', 'Jest', 'Git', 'Mid-level', 'Responsive web design', '3 years', 'MobX', 'Docker', 'JavaScript', 'Sass', 'REST', 'Redux', 'APIs', 'Front-end development', 'GraphQL', 'AI', 'TypeScript', 'HTML']","At Meibel, we are building the next generation of responsible AI infrastructure. Our mission is to make explainable, transparent, and trustworthy AI the standard. As a Frontend Engineer, you’ll play a critical role in shaping how users interact with complex AI systems by turning advanced capabilities into simple, intuitive, and delightful user experiences.If you love clean code, elegant design, and pushing the boundaries of frontend innovation – we want to hear from you.What You’ll DoBuild and maintain responsive, production-grade web applications using React and modern JavaScript/TypeScriptCollaborate with product and design teams to bring intuitive and accessible user experiences to lifeIntegrate with backend systems and APIs to create seamless and performant interfacesLead and participate in architecture discussions and code reviews to uphold engineering excellenceOptimize UI performance, accessibility, and cross-browser compatibilityOwn features end-to-end – from prototype to production to iterationWhat We’re Looking For3+ years of hands-on experience in frontend developmentDeep proficiency with React, including modern patterns (hooks, context, etc.)Strong skills in JavaScript/TypeScript, HTML5, and CSS3Experience working with state management libraries (Redux, Zustand, MobX, etc.)Solid understanding of responsive design principles and accessibility best practicesFamiliarity with RESTful and/or GraphQL APIsComfortable writing unit and integration tests with tools like Jest, Cypress, or React Testing LibraryVersion control fluency with Git and code collaboration toolsBonus Points ForExperience with Next.js or other React meta-frameworksUnderstanding of CI/CD workflows and DevOps best practicesWorking knowledge of CSS-in-JS or preprocessors like SassExposure to Docker or containerized environmentsPassion for performance optimization and frontend toolingA sharp eye for design or close collaboration with design teamsWhy Join Meibel?At Meibel, your work will directly impact how organizations build and trust AI. We offer:A mission-driven culture focused on transparency, collaboration, and innovationA chance to work on cutting-edge AI infrastructure with a strong engineering teamFlexibility in how and where you workOpportunities to grow through regular knowledge sharing, mentorship, and hands-on experience with modern AI toolsLet’s build the future of explainable AI together.Job Type: Full-timeBenefits:401(k)Dental insuranceHealth insuranceHealth savings accountVision insuranceCompensation Package:Stock optionsYearly paySchedule:Monday to FridayWeekends as neededApplication Question(s):Will you now or in the future require sponsorship for employment visa status (e.g., H-1B visa)?Ability to Commute:Tysons, VA 22102 (Required)Ability to Relocate:Tysons, VA 22102: Relocate before starting work (Required)Willingness to travel:25% (Required)Work Location: Hybrid remote in Tysons, VA 22102",,https://www.simplyhired.com/job/x-M-f77bdSkC32GLdpiLRZFCKRIE4QWjd9GI-Sy6Zxwz5rReYkC5ng
Desarrollador Frontend,The Big Tech Experience,,"Jornada, NM",,Estimated: $34.9K - $44.2K a year,,[],"Desarrollo
En TheBigTech Experience, continuamos en expansión y actualmente buscamos incorporar a un Desarrollador Frontend (H/M). Nuestra empresa forma parte de un destacado grupo empresarial en pleno proceso de expansión y verticalización en el ámbito informático.
En este contexto, el equipo de sistemas desempeña un papel crucial para alcanzar el éxito en los objetivos establecidos
Zaragoza
 Jornada Completa",,https://www.simplyhired.com/job/fmJ_RQxmg4osqte6om8iEsbR-zXa7eqcmkn4iVLBCnVQiss_P6TDpg
Frontend Software Engineer - TikTok Search Business,TikTok,3.3 out of 5 stars,"San Jose, CA",,"$145,000 - $250,000 a year",,"['Computer Science', 'CSS', 'React', 'Data structures', 'Mid-level', 'Application development', 'Algorithms', ""Bachelor's degree"", 'JavaScript', 'Computer Engineering', 'Angular', 'Vue.js', 'Research & development', 'Communication skills', 'Debugging', 'HTML']","Responsibilities
Our team's responsibility is to use the most cutting-edge technology to create the best search engine products. The vision is to support the healthy development of TikTok's overall business, efficiently linkage users and information, help users solve problems, and become the preferred short video search engine for users around the world. Responsibilities: • Responsible for the frontend research and development of the Search Content Ecosystem's business; • Participate in the construction of the front-end engineering system of the Search Cloud Platform; • Responsible for user experience, R&D efficiency, stability, and providing solutions from a frontend perspective.
Qualifications
Minimum Qualifications: • Proficient in frontend technologies such as JavaScript/HTML/CSS, understand the operating principle of the browser, and be able to develop independently without frontend libraries; • Familiar with frontend mainstream frameworks, JS libraries and related ecological tools, such as: React/Vue/AngularJS, etc., understand their design principles and application scenarios • Familiar with frontend engineering and modularization development, and have experience in large-scale application development and maintenance; • Familiar with various frontend related debugging and testing tools, and have independent problem-solving skills; • Familiar with frontend and backend collaboration mode, have good abstract thinking, and have a certain understanding of algorithms and data structure; • Passionate about learning, enthusiastic about technology, and good technical sensitivity; • Have good communication skills and teamwork spirit, strong sense of responsibility, positive and optimistic attitude; Preferred Qualifications: • Bachelor's or advanced degree in Computer Science, Computer Engineering, Electrical Engineering, or a related field with 2 years of frontend experience • 2 years relevant work experience from a large-scale internet business
Job Information
【For Pay Transparency】Compensation Description (Annually)
 The base salary range for this position in the selected city is $145000 - $250000 annually.
Compensation may vary outside of this range depending on a number of factors, including a candidate’s qualifications, skills, competencies and experience, and location. Base pay is one part of the Total Package that is provided to compensate and recognize employees for their work, and this role may be eligible for additional discretionary bonuses/incentives, and restricted stock units.
Benefits may vary depending on the nature of employment and the country work location. Employees have day one access to medical, dental, and vision insurance, a 401(k) savings plan with company match, paid parental leave, short-term and long-term disability coverage, life insurance, wellbeing benefits, among others. Employees also receive 10 paid holidays per year, 10 paid sick days per year and 17 days of Paid Personal Time (prorated upon hire with increasing accruals by tenure).
The Company reserves the right to modify or change these benefits programs at any time, with or without notice.
For Los Angeles County (unincorporated) Candidates:
Qualified applicants with arrest or conviction records will be considered for employment in accordance with all federal, state, and local laws including the Los Angeles County Fair Chance Ordinance for Employers and the California Fair Chance Act. Our company believes that criminal history may have a direct, adverse and negative relationship on the following job duties, potentially resulting in the withdrawal of the conditional offer of employment:
1. Interacting and occasionally having unsupervised contact with internal/external clients and/or colleagues;
2. Appropriately handling and managing confidential information including proprietary and trade secret information and access to information technology systems; and
3. Exercising sound judgment.
About TikTok
 TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and we also have offices in New York City, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo.
Why Join Us
 Inspiring creativity is at the core of TikTok's mission. Our innovative product is built to help people authentically express themselves, discover and connect – and our global, diverse teams make that possible. Together, we create value for our communities, inspire creativity and bring joy - a mission we work towards every day.
We strive to do great things with great people. We lead with curiosity, humility, and a desire to make impact in a rapidly growing tech company. Every challenge is an opportunity to learn and innovate as one team. We're resilient and embrace challenges as they come. By constantly iterating and fostering an ""Always Day 1"" mindset, we achieve meaningful breakthroughs for ourselves, our company, and our users. When we create and grow together, the possibilities are limitless. Join us.
Diversity & Inclusion
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.
TikTok Accommodation
 TikTok is committed to providing reasonable accommodations in our recruitment processes for candidates with disabilities, pregnancy, sincerely held religious beliefs or other reasons protected by applicable laws. If you need assistance or a reasonable accommodation, please reach out to us at
 https://tinyurl.com/RA-request",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/128x128/83b6323a8116bb3e0e44be12781095c5,https://www.simplyhired.com/job/CM6Evg1B6SrGN478pu9vcz59ZxmejSM42w6bW20obAS3C6si35VOag
